功夫3D	功夫
谈谈心，恋恋爱	谈谈心恋恋爱
永乐恩仇	武僧
A Friend From Ocean（外文名）	海洋朋友
三言二拍之毡笠缘	毡笠缘
舉自塵土	举自尘土
美梦人生	灰色大佬
你好大腕	灰色大佬
泰女情恨	傣女情恨
军人本色	我的左手
鳳凰 わが愛	凤凰
思い出の西幹道	西干道
1978年、冬。	西干道
大转折 下集 挺进大别山	大转折——挺进大别山
大顺店	天尽头
今股奇缘	大话股神
少女革命	麻雀要革命
麥兜響當當	麦兜响当当
麦兜武当	麦兜响当当
麦兜故事4	麦兜响当当
兄弟之生死同盟	兄弟
回家的路之疯狂直播秀	回家的路
听妈妈的话	回家的路
欲奴	遗落荒原的爱
星语心愿	山顶上的钟声
绝顶边缘	山顶上的钟声
爱在茶乡	茶色生香
有老鼠牌铅笔吗	暗号
约翰·拉贝	拉贝日记
绝龙路英豪	狂龙逞英豪
马背银行	烽火岁月
石榴可以这样吃	石榴的滋味
警戒	警徽
面对红十字	女大学生之死
迟桂花	金秋桂花迟
蓉城破晓	破晓
聂隐娘	刺客聂隐娘
第七传人(台)	第七子：降魔之战
猎魔七煞(港)	第七子：降魔之战
史布克的学徒	第七子：降魔之战
最后的学徒	第七子：降魔之战
第七子	第七子：降魔之战
好梦成真	祝你好运
情海	请将我遗忘
红草滩之刀神	红草滩
血溅狮王阵	南北雄狮
這兒是香格里拉	这儿是香格里拉
真味小霸王	真味小厨王
真味小和尚	真味小厨王
惬意的生活	我们的生活
赚他一千万	赚它一千万
父亲·爸爸 Father	红色年代
上海	谍海风云
保持通話	保持通话
赤裸孽缘	青春旷野
不会说话的爱情	活着爱着乐着
女捕快之迷局	女神捕之迷局
生死极速	极度险情
我是乡巴佬	超生游击队
沙镇的故事	耗尽一生
奇异家族	神秘世界历险记
夏至 A Summer Way	夏至
西門無恨	楚留香后传之西门无恨
卡门《the fat girl》	卡门
夏日物语	感光夏日
温良忠厚的诈骗犯	诈骗犯
扣篮Slam	扣篮对决
麦包系列之大唐风云	大唐风云
江山·美人	江山美人
功夫老爹	功夫老爸
铜马铁燕传奇	少林十八小铜人
乌龙巡警2(台)	超级骑警2
情迷女人心	歌声迷影
叠影杀机	歌声迷影
死亡列车	惊天东方号
跟你没完	咱俩没完
奇特缩形者	奇怪的收缩人
复仇的子弹	小鬼特种兵
W-布什传记	小布什传
殊不简单	小布什传
W的故事	小布什传
布什	小布什传
迷果	秘岸
少年	秘岸
橙乡天使	赣南之恋
三无流浪记	搏击赌庄
狙击英雄 张桃芳	狙击英雄
中国新纪录片糸列之狙击英雄	狙击英雄
神兵小将：电影版	神兵小将
地产大亨	大富翁
赌神风云	赌王出山
中国赌王	赌王出山
灵车	心灵之车
龙虎群英	贼头
第一人	登月第一人
登月先锋(台)	登月第一人
爱月之人(豆友译名)	登月第一人
九降风之中国大陆篇	摊开你的地图
裸浴	情人的血特别红
珍珠衫	金瓶少女
玄女幽魂	九天玄女
蛊咒传奇	九天玄女
小狐狸的故事之二	智斗乌鸦
羽坛冠军的日记	闪光的羽毛
车站	等你回来
我在霞村的时候	贞贞
葉問	叶问
一代宗师·叶问	叶问
聊斋之白秋练	白秋练
24城记	二十四城记
二十四城故事	二十四城记
三月三	剑侠传奇
三言两拍之三月三	剑侠传奇
美国田园诗	美国牧歌
美国心风暴(台)	美国牧歌
美丽男孩(台)	漂亮男孩
我怎么能吃我爸爸	疯狂进化人
我为什么(不)吃我的父亲	疯狂进化人
哈哈哈	哈！哈！哈！
黄飞鸿之勇闯天下	勇闯天下
三国演义之诸葛孔明	诸葛孔明
无路可退	乡间路
乡野僻径	乡间路
弗兰克·辛纳特拉	辛纳特拉
新龙威小子	功夫梦
功夫小子	功夫梦
乌尔善版鬼吹灯	寻龙诀
鬼吹灯之寻龙诀	寻龙诀
鬼吹灯	寻龙诀
太平轮：乱世浮生I(台)	太平轮(上)
生死恋	太平轮(上)
猛龙怪客	虎胆追凶
唐山唐山	但愿人长久
野蠻小子(台)	新笑林小子之我最棒
青城山之恋	爱情狗
水浒英雄谱之杨志	青面兽杨志
怒江传奇	怒江魂
红河谷2：活寡	怒江魂
木匠过年	肥水别流外人田
血欲迷墙	犯罪分子
风流泸沽	风流的湖
美版阴风阵阵	阴风阵阵
窒息(台)	阴风阵阵
囚犯	六号特殊犯人
万山剿匪记	围剿
熊猫团圆路	熊猫回家路
黃沙·青草·紅太陽	黄沙·青草·红太阳
修复处女膜年代	故事无双
断指之声	故事无双
之 鉴证	自由的边缘
替补员工	替补职员
古刹幽魂	古庙倩魂
我非贪官情夫	沉默与谎言
霸王別姬	霸王别姬
聊斋之鬼狐	狐仙
鬼狐	狐仙
狐道	狐仙
大搜查	大搜查之女
聊齋電影全新系列 梅女	梅女
聊齋電影全新系列 香玉	香玉
聊齋電影全新系列 阿绣	阿绣
阿秀	阿绣
聊齋電影全新系列 狐仙馴悍記	狐仙驯悍记
聊齋電影全新系列 鬼宅	鬼宅
聊齋電影全新系列 狐俠	狐侠
聊齋電影全新系列 賈奉雉	贾奉雉
极盗战(台)	贼巢
贼斗(港)	贼巢
福尔摩斯&amp;华生	福尔摩斯与华生
银杏，银杏	爱有来生
毒魔(港)	毒液：致命守护者
猛毒(台)	毒液：致命守护者
毒液	毒液：致命守护者
曾侯乙编钟传奇	凤舞天下
追凶50年	追凶五十年
银饰Ⅱ床	火船
银饰2床	火船
北京2008：第29届奥林匹克运动会开幕式	2008年第29届北京奥运会开幕式
三言二拍之芙蓉屏	芙蓉屏
三言两拍之拉郎配	拉郎配
吉縣麟	吉县麟
三言二拍之画鸟记	画鸟记
荒宅勿入	长恨歌
回路杀手(台)	环形使者
时凶猎杀(港)	环形使者
三言两拍之行乐图	行乐图
香格里拉之恋	为了爱
追鬼伞	可可的魔伞
郎朗的歌——献给2008	郎朗的歌：献给2008
钟形罩	瓶中美人
你心换我心	我心不死
還我情心	我心不死
靈異殺手	我心不死
还我情心	我心不死
真爱收信中(台)	根西岛文学与土豆皮馅饼俱乐部
纳粹铁蹄下的密函情书(港)	根西岛文学与土豆皮馅饼俱乐部
根基岛的文学和土豆派协会	根西岛文学与土豆皮馅饼俱乐部
只杀陌生人(港	陌生人2
台)	陌生人2
太阳花籽	毛嗑儿
葵瓜子	毛嗑儿
毛嗑	毛嗑儿
女人1966	开着火车上北京
冬日	葛老爷子
爱失偿(港)	李米的猜想
李米的遭遇	李米的猜想
铁甲奇侠3(港)	钢铁侠3
钢铁人3(台)	钢铁侠3
铁人3	钢铁侠3
女神捕之记中计	女神捕之计中计
非常完美：夺爱大作战	非常完美
苏菲的复仇	非常完美
铁胆忠魂	步入辉煌
黑寡妇	飞天蜈蚣
父子神探（第一部）	父子神探之千年咒
国庆日	黄金周
生命攸关	地下的天空
井	地下的天空
唐布拉之恋 Love of Tangbula Grasslands	唐布拉之恋
与艾维共进晚餐	我与赫夫共进晚餐
踏入地狱	进入地狱
入冥	进入地狱
进入幽冥	进入地狱
远东特遣队 第1部 初试锋芒	远东特遣队之初试锋芒
快乐时光凶杀案	欢乐时光谋杀案
賤偵MADAM摷公仔(港)	欢乐时光谋杀案
上海八英里shanghai 8 miles	上海八英里
若桔若藜	若橘若藜
爱情在线	自新大陆
民工潮	农民工
惑星历险	禁忌星球
缘分的天空之我爱的人	爱情急转弯
父子神探（第四部）	父子神探之玫瑰园疑云
父子神探（第五部）	父子神探之神秘数字
父子神探（第三部）	父子神探之目击者
父子神探（第二部）	父子神探之双子座
天下无敌掌门人	拳神小子
追金行動	追金行动
雙村記	双村记
赤壁：决战天下	赤壁(下)
證人	证人
无梦之年	疼痛难忍
无梦之年	疼痛难忍
共和国名将·李志民军管包头	李志民军管包头
烈火男儿5	烈火男儿之超级英雄
南國風雲	南国风云
夺宝特攻	南国风云
护宝情侠	南国风云
九反岁月	南国风云
烈火男儿6	烈火男儿之隐患
惊蛰	十八个手印
少年英雄王二小	二小放牛郎
烈火男儿3	烈火男儿之荣誉
烈火男儿4	烈火男儿之队长的故事
烈火男儿1	烈火男儿之金斧头
李双良	愚公移山
喜羊羊与灰太狼1	喜羊羊与灰太狼之牛气冲天
温彻斯特鬼屋(台)	温彻斯特
聊斋之连琐	连琐
像界碑一样站立	中尉
冬日午后	俗事
通天神探狄仁杰	狄仁杰之通天帝国
竊聽風雲	窃听风云
寡男寡女	非常女·非常嫁
大电影2	大电影2.0：两个傻瓜的荒唐事
美仑美奂	心灵风暴
新邦尼和克莱德	邦尼和克莱德的故事
心灵渡口	代课老师
玉龙还珠	西湖传奇
沔阳风暴	沔州烽火
水浒人物谱之小李广花荣	小李广花荣
犹太士师参孙	参孙
愛到盡	爱到尽
盗墓者罗拉(港)	古墓丽影：源起之战
古墓奇兵(台)	古墓丽影：源起之战
新古墓丽影	古墓丽影：源起之战
神医大梦	黑灵芝
僵尸俏佳人	江南奇冤
水浒英雄谱之雷横与朱仝	雷横与朱仝
牛人之谁动了我的幸福	谁动了我的幸福
功夫廚神	功夫厨神
烈火男儿2	烈火男儿之见习英雄
烈火男儿之“业余”消防员	烈火男儿·业余消防员
倔强的萝卜	倔强萝卜
倔犟萝卜	倔强萝卜
小分队	截杀香阁寺
东风·雨	东风雨
叶问2	叶问2：宗师传奇
余震	唐山大地震
北侠欧阳春	春满风波楼
孔子：决战春秋(台)	孔子
抗日县长张问德	腾越殇魂
高黎贡山魂	腾越殇魂
沙漠公路	飞跃沙漠
