功夫3D	功夫
太陽的孩子	太阳的孩子
蘋果的滋味	苹果的滋味
巴啦啦小魔仙3	巴啦啦小魔仙之魔箭公主
黎巴嫩1982: 亡命救参(港)	贝鲁特
高压行动(台)	贝鲁特
高压线上	贝鲁特
亲，别怕之鬼宅凶灵	亲，别怕
亲，别怕3D	亲，别怕
镜·双城	镜：双城
镜双城	镜：双城
双城	镜：双城
舞鬥	舞斗
都嘟-半岁特别节目	都嘟一夏特别节目
菜鳥	菜鸟
小猪班纳之梦想大“帽”险	小猪班纳大电影之梦想大“帽”险
小猪班纳之梦想大冒险	小猪班纳大电影之梦想大“帽”险
致命邂逅	活死人事件
超级兵王混都市	终极兵王
面魔	人皮拼图
村官儿	花满佟家峪
大黄蜂大电影	大黄蜂
大黄蜂独立电影	大黄蜂
变形金刚外传：大黄蜂	大黄蜂
变形金刚外传大黄蜂	大黄蜂
我最好朋友的婚礼中国版	我最好朋友的婚礼
情人湖	情人潮
回家2016	走出大墙的人之回家
西游新传2：真心话大冒险	西游超级粉
对不起，我的最美女老师	唤醒
愛情算不算	爱情算不算
大桥头的恋爱梦	爱情算不算
台北爱情捷运系列电影	爱情算不算
老人、孩子和外国人	老人、小孩和外国人
风云小棋王4	风云小棋王之解杀反捉
决战蹴鞠	蹴鞠
剑侠情缘	圣剑
极速绯闻	外公芳龄38
超速绯闻	外公芳龄38
非常主播	外公芳龄38
非常主播中国版	外公芳龄38
我在峰峰遇见你之梦	梦
盲道	盲·道
盲流	盲·道
申命記	申命记
侏罗纪世界：殒落国度(台)	侏罗纪世界2
侏罗纪世界：迷失国度(港)	侏罗纪世界2
侏罗纪世界2：失落王国	侏罗纪世界2
侏罗纪世界2：堕落王国	侏罗纪世界2
侏罗纪公园5	侏罗纪世界2
女神期间	女神时代
红骷	红髅
京城红髅	红髅
新修女也疯狂	修女也疯狂
我的狐朋狗友	我的“狐朋狗友”
太极鼠之镖飙彪	镖飙彪
催命符	催命符之劫后重生
双重約會	双重约会
雪女传说	霸道总裁别惹我
牵过你的黑发的我的手	爱情魔发师
北美小鹿猎人传奇(台)	白尾鹿猎手的遗产
黑家洼	四妹子
风云小棋王3：五行杀阵	风云小棋王之五行杀阵
蒲出去2：皇者之阶	蒲出去2之皇者之阶
西游外传：终结篇	西游外传2
無雙	无双
追龍	追龙
卧虎2	追龙
跛豪	追龙
月色撩人	夜色撩人
坚不可摧	走出尘埃
婚前合约	合约男女
A测试之爱情大冒险	A测试
极致追击：龙凤劫	极致追击
极悍巨鲨(港)	巨齿鲨
麦格	巨齿鲨
霸海妖姬	海盗与魔女
怒海沉尸	海盗与魔女
远古大帝·大舜传奇	轩辕剑传奇
小鸡叫叫和他的朋友们	小鸡叫叫
叫叫和他的朋友们	小鸡叫叫
末日困兽战(港)	狂暴巨兽
毁灭大作战(台)	狂暴巨兽
狂暴：世纪浩劫	狂暴巨兽
狂暴	狂暴巨兽
怪兽大破坏	狂暴巨兽
沒女神探	没女神探
部部惊心	部部惊心之车祸人妻
2 卫青	百家讲坛：中国故事·爱国篇
3 霍去病	百家讲坛：中国故事·爱国篇
拳力逃脱(台)	22英里
绝地22哩(港)	22英里
鬼新娘	诡新娘
其主之声	造主之声
大顺1927	大顺·1927
大顺·一九二七	大顺·1927
冥童	白云桥
江南灵异录之白云桥	白云桥
灵魂的温度	男人制造
怨相	恐怖照相机
青春激荡的年代	青春激荡的岁月
擦出爱火花	摄男斗女模
捉妖济4：归来	捉妖济
新捉妖济	捉妖济
红旗袍	恐怖禁忌之红旗袍
盗爱	等爱归来
老大 老板	民工
寻梦	彝乡情梦
传世宝藏	侠骨豪情
头七艳情	诡影迷情
新柳堡的故事	柳堡的女人们
章镇讲诡故事	午夜讲诡故事
张震讲诡故事	午夜讲诡故事
胜利十一人	笑林足球
麦兵兵	麦兵兵之夺宝联“萌”
道士出山3：阴阳先生	阴阳先生
高大人生	太空生活
最后的十八梯	十八梯184号
梨花白	桃花红
我的盖世英熊	我的盖世男友
所以，我和黑粉结婚了	所以……和黑粉结婚了
于是我和Anti-fan结婚了	所以……和黑粉结婚了
萌系检察官之正好的我们	正好的我们
那些年，那些女人	那些女人
十年	南方
浣花洗剑录电影版	情剑
燈塔下的戀人	灯塔下的恋人
奋斗与爱情	都市迷踪之性本善
浴火凤凰之钢管女郎	浴火凤凰
我是大熊猫2之熊猫大侠	我是大熊猫之熊猫大侠
梦回甲午	大变局之梦回甲午
不敢上床的女人	命中住定
真爱趁现在(台)	午夜阳光
日出前让恋爱开始(港)	午夜阳光
美版《太阳之歌》	午夜阳光
老公要上位	老公大作战
抠门大师	抠门大师
抠门师傅	抠门大师
中国英雄联盟之钢管侠	钢管侠
神秘的洛克	痞子·洛克
深圳往事	青湖
讨学钱	张学生讨学钱
《红楼梦》大观园与清代园林艺术	百家讲坛：大观园与清代园林艺术
回头路	诡梦凶铃
绑架郭德纲之狗仔岁月	绑架郭德纲
灵探理柯南	脱线灵探理柯南
脱线灵探	脱线灵探理柯南
《默·忆》	默·忆
典藏故事	典藏的故事
引爆點	引爆点
特卫俏佳人	贴身俏保镖
裸情恨电影版	风流小姨子
阿罩霧風雲II-落子	阿罩雾风云2落子
阿罩雾II	阿罩雾风云2落子
紅衣小女孩	红衣小女孩
同样的爱	霸道总裁和他的男人
死侍往事	死侍2
山花烂漫	山花烂漫时
氧气美女	夜闯寡妇村
暗洞惊魂	诡劫
九层妖楼	诡打墙
鬼打墙	诡打墙
猎爱北京	追爱北京
我們全家不太熟	我们全家不太熟
三个逊爸一个妈	我们全家不太熟
终极赌王	赌神归来
美女校花的贴身高手	校园仙侠传
八卦女王	帕帕拉奇
笔仙惊魂4	笔仙魔咒
新笔仙惊魂	笔仙魔咒
2014年春晚	2014年中央电视台春节联欢晚会
何延川之一九四六	何延川之1946
千里心行	邕江之恋
归心四贱	回乡逗儿
以愛為名	以爱为名
舒克与贝塔	舒克和贝塔
舒克和贝塔电影版	舒克和贝塔
舒克与贝塔电影版	舒克和贝塔
毕业旅行	毕业旅行笑翻天
和她的五天四夜	夜店公主擒爱记
超萌特攻队	长江7号：超萌特攻队
长江7号动画大电影：超萌特攻队	长江7号：超萌特攻队
长江七号超萌特工队	长江7号：超萌特攻队
西城童話	西城童话
台北爱情捷运系列电影	西城童话
西游·紫霞篇	紫霞
孙悟空的女友	紫霞
真假猴王之大圣归来	紫霞
Studio homicide case（英）	画沙
毛驴县令2之非我莫属	毛驴县令之非我莫属
那年他十七岁	那年他17岁
姐妹兄弟	希斯特斯兄弟
淘金杀手	希斯特斯兄弟
新版狼牙山五壮士	狼牙山五壮士
狼牙山五壮士3D	狼牙山五壮士
狼牙山伍壮士	狼牙山五壮士
· 階級兄弟	順民刁民
风信有约	寄往昙华林78号的明信片
iGirls梦情人(港)	我的极品女神
我的极品女友	我的极品女神
我的智能女友	我的极品女神
淘得有情人	我的极品女神
魔女的童话	魔女
阿鸡米德作弊	你好鸡智：集体作弊事件
你好鸡智01集：集体作弊事件	你好鸡智：集体作弊事件
迷途杀机	绑架者
兇手還未睡	凶手还未睡
红楼梦与北京王府	《红楼梦》与北京王府
国宝档案：《红楼梦》与北京王府	《红楼梦》与北京王府
张震讲诡故事2	午夜讲诡故事2
红楼梦与王府抄本	《红楼梦》与王府抄本
国宝档案：《红楼梦》与王府抄本	《红楼梦》与王府抄本
長安，長安	长安，长安
欲望之偷窥	偷窥大师
探灵档案电影版	探灵档案
盲点侦探	探灵档案
天使的收音機	天使的收音机
青春躁郁	愤怒
幸福路上动画电影版	幸福路上
南口一九三七	南口1937
毒。誡	毒。诫
神行太保	毒。诫
陈华传	毒。诫
半条命1：美女总裁与特种兵	美女总裁与特种兵
日本投降	受降前夕
母亲的承诺	额吉的承诺
共和国反腐枪声	反腐枪声
极限挑战大电影	极限挑战之皇家宝藏
极限挑战之圣火令	极限挑战之皇家宝藏
最后的武士	极限挑战之皇家宝藏
爱情包邮	那件疯狂的小事叫爱情
寻龙笔记之阴阳墓	猛鬼吹灯之寻龙决
阴阳墓	猛鬼吹灯之寻龙决
寻龙决	猛鬼吹灯之寻龙决
犧牲之旅	牺牲之旅
十六公里長的夜	十六公里长的夜
妄想症之骇案三奇	妄想症
鬼遮眼之道长出马	鬼遮眼
致命诱惑	泡上美女总裁3
迷你星	危险游戏
鬼压床	狗眼看阴阳之帝王香包
纪念日(港)	分手再说我爱你
整容液事件	整容液事件1
新欢乐满人间	欢乐满人间2
魔法保姆(港)	欢乐满人间2
爱·满人间(台)	欢乐满人间2
蛛网	谜巢
蛛巢	谜巢
出遊	出游
森林眼睛	天降(梅新执导)
第一季	名声大震
因爱而生	克隆女友
仙剑客栈大电影	仙剑客栈
鴨王2	鸭王2
鸭王2：鸡同鸭恋	鸭王2
色模	星探
花开的声音	耳蜗
妈妈让我再爱你一次	妈妈，让我再爱你一次
偷心	天机
猎鹰	非凡任务
我的青春我点赞	青春逗
为青春点赞	青春逗
南京东	南京东1937
童梦成真 哆啦A梦真人版大电影	拜托了小叮当
盗墓之逗	盗墓奇遇记
上身	心惊胆战
3 恐ろし山の亡霊番長	ヒロミくん!
疯狂的初夜	疯狂的夜
怒火边界2：毒刑者(台)	边境杀手2：边境战士
毒裁者2：无法无天(港)	边境杀手2：边境战士
边境杀手2：战士	边境杀手2：边境战士
边境杀手2：兵凶战危	边境杀手2：边境战士
边境杀手2：并肩作战	边境杀手2：边境战士
争宠(港)	宠儿
真宠(台)	宠儿
宠姬	宠儿
挚爱	宠儿
南极绝恋	南极之恋
莫日根：人熊大战	莫日根
暗夜之狼(台)	黑暗杀机
持有黑暗	黑暗杀机
手持黑暗	黑暗杀机
一家老小向前冲电影版	一家老小向前冲
异性合租	异性合租的往事
与异性合租的往事	异性合租的往事
鬼灵精怪大酒店3：怪兽旅行团(港)	精灵旅社3：疯狂假期
尖叫旅社3：怪兽假期(台)	精灵旅社3：疯狂假期
年三十的班车	班车惊魂
失控謊言	失控谎言
徐州爷们	爷们
葛优——“编辑部”里走出来的黄金搭档	档案：冯小刚
雖然媽媽說我不可以嫁去日本	虽然妈妈说我不可以嫁去日本
ママは日本へ嫁に行っちゃダメと言うけれど。	虽然妈妈说我不可以嫁去日本
云在故乡等我	矮婆
番外篇 终极之战	极限挑战
禁室逃杀	监禁风暴
蚁侠2：黄蜂女现身(港)	蚁人2：黄蜂女现身
蚁人2	蚁人2：黄蜂女现身
蚁人与黄蜂女	蚁人2：黄蜂女现身
红拳虎娃	关中红拳
在世界的中心呼唤爱	奔爱
爱，无处不在	奔爱
呼吸	你在哪
春嬌救志明	春娇救志明
志明与春娇3	春娇救志明
飞鸢	闭嘴！爱吧
飞燕	闭嘴！爱吧
港片少年	香港武打片
小狗岛	犬之岛
汪星人之岛	犬之岛
犬ヶ島	犬之岛
海風	海风
远山	三抬镇
妖夜荒踪	荒村凶间
七月半2	七月半2：前世今生
七月半之前世今生	七月半2：前世今生
变身计之长大了	变身计
恶人	暴裂无声
寻山	暴裂无声
山野追踪	暴裂无声
草木之恋-情定旧金山	草木之恋
咖啡	咖啡风暴
晚五朝九(台)	五到九
彼得兔	比得兔
末世异种(台)	超能泰坦
泰坦	超能泰坦
狙击唐小婉	禁忌关系
恶之花	禁忌关系
屌丝侠	屌丝侠之欲望之门
新人勿近	与人为恶
暗算(台)	与人为恶
海岸救援队之食人海怪	海滩救援队之食人海怪
翻译官电影版	翻译官
反斗天庭2	反斗天庭之特种部队
宝贝别闹之地库婴啼	地库婴啼
女版十一罗汉	瞒天过海：美人计
瞒天过海：八面玲珑(台)	瞒天过海：美人计
盗海豪情：8美千娇(港)	瞒天过海：美人计
八罗汉	瞒天过海：美人计
八大罗汉	瞒天过海：美人计
侠盗英姿	瞒天过海：美人计
盗海姐妹团	瞒天过海：美人计
华尔街狼群(港)	亿万少年俱乐部
亿万男孩俱乐部(台)	亿万少年俱乐部
大智若愚	亿万少年俱乐部
亲爱的初恋(台)	爱你，西蒙
抱抱我的初恋(港)	爱你，西蒙
西蒙和他的出柜日记	爱你，西蒙
爱你的西蒙	爱你，西蒙
爱，赛蒙	爱你，西蒙
太空熊猫3	太空熊猫英雄归来
天师伏魔第一章觉醒	天师伏魔之觉醒
电影《画》	画
恐怖快件	恐怖快递
爱情速递	恐怖快递
硬颈仔	活着
难得有情人	奔跑吧有情人
末日恋人	末日情人节
蜘蛛网里的女孩	蜘蛛网中的女孩
龙纹身的女孩续集	蜘蛛网中的女孩
阿鸡米德表白	你好鸡智：真诚的付出
你好鸡智02集：真诚的付出	你好鸡智：真诚的付出
二十八岁未成年	28岁未成年
电影版我和春天有个约会	我和春天有个约会
吉诺密欧与朱丽叶2	淘气大侦探
神探福尔摩侏(港)	淘气大侦探
糯尔摩斯(台)	淘气大侦探
吉诺密欧与朱丽叶2：夏洛克·糯尔摩斯	淘气大侦探
暴走兄弟大战僵尸古惑仔	暴走兄弟VS僵尸古惑仔
后座有诡	暴走兄弟VS僵尸古惑仔
Z计划	抢红
完全男生手册	脱单告急
他爸的奇幻人生	脱皮爸爸
荷尔蒙	燃烧吧
叛逆的青春	燃烧吧
末日归途	丧尸屠城
怨灵死咒之404室	怨灵死咒
夕阳山外山	弘一法师
启程之前	不肃之客
偷天特务(港)	王牌逗王牌
盗中盗	王牌逗王牌
爱上贼中贼	王牌逗王牌
前任3	前任3：再见前任
前任攻略3	前任3：再见前任
前任3：颜值大作战	前任3：再见前任
伪装者电影版	伪装者
京城81号Ⅱ	京城81号2
赌王之王	山炮赌王
外星古墓	道士出山3：外星古墓（上）
钟楼怪人真人版	艾丝美拉达
钟楼驼侠真人版	艾丝美拉达
围鸡总动员(台)	护航父母
反啪啪同盟(港)	护航父母
护航者	护航父母
倩女箫魂	箫魂传之倩女箫魂
瓯柑之味	瓯柑之恋
致命倒数	逆时营救
闺房秘影	凄灵室
泡妞36计	泡妞三十六计
十七要不要	校花驾到2蜜桃时代
重踏舞姐妹会(台)	辣舞姐妹
街舞姐妹	辣舞姐妹
命运谷	命运谷之决胜宜昌
得闲谨制	命运谷之决胜宜昌
阿公教你看布袋戲	阿公教你看布袋戏
校囧	恋上女教师
天使嘎丽娅	冰美人
和平天使嘎丽娅	冰美人
捉妖济Ⅲ人鬼殊途	捉妖济3人鬼殊途
前戏	外星人来了之前戏
江湖	断肠江湖安
之前的女孩	前任女孩
废物小说大电影	东北花泽类之起幺蛾子
开心赌鬼	鬼域赌王
时光情书中国版	时光情书
美食 蟹黄包	恋爱
恋爱、美食、蟹黄包	恋爱
生命守护者	守巢人
北极	伊阿索密码
爸爸我来救你了之吉大嘿梦	爸爸我来救你了
夏天十九岁的肖像	夏天19岁的肖像
夏天，十九岁的肖像	夏天19岁的肖像
夏天，19岁的肖像	夏天19岁的肖像
中国版美女罐	美女罐
末日危机	病毒之末日危机
TV屍	TV尸
刺青杀阵	二次元侦探
女神噩梦	朋友圈噩梦
恶梦天使	朋友圈噩梦
夜袭美人村	夜袭寡妇村
屌丝男女5	蕾丝男女·东莞之囧
梦魇人偶	诡娃
窒息空间1：绝命逃生	活埋惊魂
狼爸的神秘计划	小王子的奇幻之旅
阿成一家的幸福生活	白夜
背断厕所	白夜
大兄弟	花花子弟
老板好坏(台)	外国佬
边个出差咁黑仔？(港)	外国佬
美国运通	外国佬
摩登神探	摩登神探2015
千年御水珠 总集篇	狐妖小红娘剧场版：下沙
午休時間	午休时间
The Lunch Break（英）	午休时间
光棍奇遇记3之光棍天使	光棍奇遇记3
爱情公社	同城邂逅
大变话	谎言大爆炸
完美女神进化论	绝色少女变身记
徐州兄弟之百万富翁	疯狂兄弟
腿哥！别停	腿哥别停
锁龙井	诡异录之锁龙井
神精榜	聚精会神榜
他們在島嶼寫作：讀中文系的人	他们在岛屿写作：读中文系的人
麻辣白玉堂之双龙会	麻辣白玉堂之致命棋局
阴阳实录之红衣男孩	红衣男孩
愛造飛雞	爱造飞鸡
泡妞大宗师	泡妞大宗师之老泡儿
他們在島嶼寫作：1918	他们在岛屿写作：1918
天网窥欲	艳遇也疯狂
隔离岛	毕业作品
夏沫特烦恼	夏沫的白日梦
少林小神童	大寺神童
左魔传：五勇士	左魔传
金编钟之谜	金编钟传奇
疯狂系列之粤囧	粤囧
美人鱼前传	海女奇缘
捉妖者联盟II	捉妖者联盟2：大圣娶妻
古祸仔之重出江湖	导演不让说
古祸仔	导演不让说
大祭司传奇	极品小农民
心理罪大电影	心理罪
圣女脱单记	剩女脱单记
唐探2	唐人街探案2
朝阳群众	王牌碟中谍之朝阳群众
王牌碟中谍I：朝阳群众	王牌碟中谍之朝阳群众
小炮儿闯江湖	小炮儿之三傻大劫案
斯诺克之台球帝国	斯诺克
離家出走自己友	离家出走自己友
魔都魅影	通灵魔镜
無題（舞伴）	无题（舞伴）
遇上神仙的奇幻基夜	遇见神仙的奇幻基夜
与上帝在一起的夜晚	遇见神仙的奇幻基夜
变性吧！咪咪的大公鸡	遇见神仙的奇幻基夜
不可思议的旅行	遇见神仙的奇幻基夜
我老婆係明星	我的老婆是明星
我老婆是明星	我的老婆是明星
茉莉的牌局	茉莉牌局
决胜女王(台)	茉莉牌局
莫莉游戏(港)	茉莉牌局
一念無明	一念无明
點五步	点五步
白人男孩里克	白人男孩瑞克
吃饭睡觉打豆豆大电影	豆福传
豆仙	豆福传
萌娃囧爸	小爸小妈
阴灵双子大战	你别吓唬我2之阴灵双子
你别吓唬我2阴灵双子	你别吓唬我2之阴灵双子
危情绑架	匪闻
魂兮归来	死亡别墅
饿棍天使	炮神归来
僵尸来了	僵尸来了之伏魔夜
自畫像	自画像
切小金家的旅館	切小金家的旅馆
切小金的旅馆	切小金家的旅馆
痴情男子漢	痴情男子汉
爱情大师的秘密行动	痴情男子汉
順雲	顺云
女人与不能决定的事	顺云
奎迪2	奎迪：英雄再起
金牌拳手：父仇(台)	奎迪：英雄再起
金牌拳手2	奎迪：英雄再起
洛奇8	奎迪：英雄再起
克里德2	奎迪：英雄再起
青春星主播	青春星主播之我的个女神啊
盗钥匙的方法中国版	盗钥匙的方法
任意依恋中国版	任意依恋
斗地主传奇	斗地主传奇之双王之王
移动花房	移动的花房
貂蝉大战丧尸	四大美人之貂蝉大战丧尸
弄潮时代	风口青春
阿良的长征	长征之路
第26屆台灣金曲獎頒獎典禮	第26届台湾金曲奖颁奖典礼
第26届台湾金曲奖	第26届台湾金曲奖颁奖典礼
蛇从革日记之东泉宾馆	蛇从革日记
啪啪啪	睡衣趴papa
大妈万岁	哈啰大妈
斯坦与奥列佛	斯坦和奥利
锋味江湖之决战食神	决战食神
锋味江湖	决战食神
美食之王	决战食神
没有刹车	一帮坏家伙
玛瑞塔	玛丽塔
大手牽小手	我的妈呀
半条命2之刺杀美女总裁	半条命2：刺杀美女总裁
小医神	绝世医仙
梦断巫山	巫山一夜
网络惊魂之激情视频の诅咒	网络惊魂
变性玛丽苏	韩咪咪小姐变身计
古镇悬案	养魂计划
六度空间	黑暗迷宫
爆笑神汤	美人鱼汤
山里的石头	老师再爱我一次
導火新聞線	导火新闻线
机器人Igirl	Igirl养成手册
养成机器人女友	Igirl养成手册
简单爱	奇葩朵朵
彩虹伴我行	彩虹老爸
东北特工007	东北特工吴老二
寻找女神娇阿依	寻找女神@娇阿依
寻找女神·娇阿依	寻找女神@娇阿依
零体	断头台
仁和闪亮新主播——主持人全国选拔大赛	闪亮新主播
報告老師！怪怪怪怪物！	报告老师！怪怪怪怪物！
修潇楠	成人玩家
女神精之女神日志	女神精之女神日记
酒惊、酒经	断片儿
酒惊酒经	断片儿
太白遗凤	断片儿
科莱特	柯莱特
花都教主柯蕾特(台)	柯莱特
抹大拉的马利亚(台)	抹大拉的玛丽亚
耶稣的女门徒(港)	抹大拉的玛丽亚
抹大拉的玛利亚	抹大拉的玛丽亚
2014年北京卫视春节联欢晚会	2014年北京电视台春节联欢晚会
阿爸的西米囉	阿爸的西米啰
24小时生存	24小时：末路重生
一日求生	24小时：末路重生
只活24小时	24小时：末路重生
金玉良缘	金星和她的朋友
泡妞之王	泡王
车祸灵异事件	心灵救赎
那一夜	心灵救赎
酒惑	心灵救赎
酒祸	心灵救赎
天津恐怖故事	天津恐怖事件
人小鬼大(2015)	人小鬼大
半人半鬼	半人半鬼之女鬼上床
终极杀人魔	唐人街杀人魔
唐人街命案	唐人街杀人魔
杀讯2(台)	解除好友：暗网
解除好友2	解除好友：暗网
我欲振翅	僚机
飞行员的故事	僚机
两个爸爸(台)	理想之家
理想家庭	理想之家
北京台春晚	2016年北京电视台春节联欢晚会
2016猴年北京卫视春晚	2016年北京电视台春节联欢晚会
敬礼！检察官	敬礼检察官
地狱恋人	风中有朵雨做的云
地狱情人	风中有朵雨做的云
阮郎歸	阮郎归
念儿归	阮郎归
12小时	虐杀12小时
傻瓜向錢衝	傻瓜向钱冲
一路撞鬼	套套侠
建群大业	建群囧事
城管大战美人鱼	超能人鱼
美人鱼2016	超能人鱼
三休之火星归来	火星归来
八戒降妖	西游记八戒降妖
有五個姊姊的我就註定要單身了啊！！	有5个姐姐的我就注定要单身了啊！！
有五个姐姐的我就注定要单身了啊	有5个姐姐的我就注定要单身了啊！！
五个姐姐	有5个姐姐的我就注定要单身了啊！！
接線員	接线员
与青春化敌为友 終極舞班	十七后
十七岁	十七后
终极舞班	十七后
青春的你	十七后
悄然走进你的世界 电影版	情骚
古墓女友	沉睡千年的古墓女友
锁妖塔	西游记之锁妖封魔塔
2016江苏荔枝元宵包袱铺	2016江苏卫视元宵晚会
击毙大狸砸	绑架王公子
新开心鬼2：欢天喜地开心鬼	欢天喜地开心鬼
2016湖南卫视元宵喜乐会	元宵喜乐会
2016元宵喜乐会	元宵喜乐会
进击吧！单身狗	进击吧单身狗
异梦空间	穿越者之异梦空间
春琴抄	春琴传
美好合一2016·大师微电影	美好合一2016
营生+住在幸福大街的王大妈+在镰仓+是这样的	美好合一2016
影子猎人：我的白天她的夜	影子猎人
影子猎人之血灵契约	影子猎人
焦点疑犯	特殊嫌疑犯
旁观者	无眸之杀
谍血二中1：首长的阴谋	谍血二中
小美人鱼真人版	小美人鱼
阿里巴巴：所罗门封印	阿里巴巴2所罗门封印
中国版东京爱情故事	东爱
爱在蟹逅时	爱的蟹逅
爱的邂逅时	爱的蟹逅
扑通扑通花少年	扑通！扑通！花少年
听见·爱	听见爱
奇门遁甲2015	奇门遁甲
鬼来了	逗逼
逗逼，鬼来了	逗逼
愤怒的校花	愤怒的校花之高校惊魂
第52屆金馬獎頒獎典禮	第52届金马奖颁奖典礼
第33屆香港電影金像獎頒獎典禮	第33届香港电影金像奖颁奖典礼
第34屆香港電影金像獎頒獎典禮	第34届香港电影金像奖颁奖典礼
第35屆香港電影金像獎頒獎典禮	第35届香港电影金像奖颁奖典礼
胡桃夹子(港)	胡桃夹子和四个王国
胡桃钳与奇幻四国(台)	胡桃夹子和四个王国
胡桃夹子真人版	胡桃夹子和四个王国
第三季	中国谜语大会
2016中国谜语大会	中国谜语大会
一克拉的承诺	疯狂的戒指
失眠	再见城市
生化奇兵之丧尸新娘	生化奇兵之血洗尸巢
大樓有鬼	大楼有鬼
夜襲	夜袭
下錨	下锚
天使驾到	天使驾到之一夜精喜
追爱大冒险	我大学室友的追爱囧途
鬼吹灯之云南虫谷	云南虫谷
愛在南潯	爱在南浔
校园特工	混世高校
遊戏规则	游戏规则
人鱼之恋	钓神
魔力耳环	猪妖记
杀无赦	东北古惑仔之杀无赦
东北古惑仔	东北古惑仔之杀无赦
猎灵师之镇魂石	猎灵师
狂獸	狂兽
今晚打喪屍	今晚打丧尸
喵	喵星人
正中午的太阳、正义与强权间较量	太阳当空照
网络女主播	网络女主播之迷局
脑囧之我不是范冰冰	脑囧
拆弹·专家	拆弹专家
隐之爱人	借眼
你好机智第四集	你好鸡智：校园魅影
中国药神	我不是药神
印度药神	我不是药神
印度药商	我不是药神
生命之路	我不是药神
中国版少年时代	成长
逆向誘拐	逆向诱拐
分裂	分裂1:906号患者档案
这都不是事之二爷的“阵地”	这都不是事之二爷的阵地
诡宅·夜呻吟	诡宅夜呻吟
终极直播	拾九禁终极直播
19禁-终极直播	拾九禁终极直播
霸天狼	空天猎
身后仕(港)	监狱学警
我从哪里来 我要到哪里去	我是谁
我是谁 从哪里来 到哪里去	我是谁
绝世高手之料理铁人	绝世高手
萌学园之寻找磐古	萌学园：寻找盘古
许愿小灵陶	阿狸
空间魅影	迷失空间
中国版二十	二十岁
徐向前三战阎锡山	三打三捷
宠灵实验室-狸奴艾莉	宠灵实验室之狸奴艾莉
艾莉	宠灵实验室之狸奴艾莉
老大必须死	我们混过的江湖
潮囧之我的前任要结婚	我的前任要结婚
中国版捉迷藏	捉迷藏
校花驾到3人鱼校花	人鱼校花
少男时代	我的少男时代
会疼的十七岁	会痛的十七岁
会痛的17岁	会痛的十七岁
一夜东莞	夜店奇缘
一代宗师熊庆来	熊庆来
從缺	从缺
捕快：血之刃	捕快血之刃
十冷2	十万个冷笑话2
救殭清道夫	救僵清道夫
尸奔日记	救僵清道夫
肇事者	破·局
走到尽头	破·局
情人节奇妙夜	开房奇妙夜
夜魔坛	夜魔坛之女高怪谈
啪啪顺风车	心动顺风车
兄弟殊途	黑社会之兄弟殊途
罪欲·黑道风情	黑社会之兄弟殊途
出租房	欲望出租房
奶酪陷阱电影版	奶酪陷阱
建筑师故事	不要搞奇奇怪怪的建筑
奇奇怪怪的建筑	不要搞奇奇怪怪的建筑
血墙	租房惊魂之血墙
更深	越陷越深
挥着麒麟臂的女孩儿	御姐拳皇
給愛麗絲	给爱丽丝
这么近，那么远	流氓少年
铠甲勇士捕将剧场版	铠甲勇士捕王
盗梦者之血瞳	盗梦者
低俗青春2	最好的青春
邦克山：一座城、一次围攻、一场革命	邦克山
神兽金刚大电影	神兽金刚之青龙再现
解码者	解码游戏
大宋夜总汇之梦回青楼	大宋总动员之梦回青楼
六个人的电影	夺命推理
华严小镇之一诡踪	华严小镇之诡踪
华严小镇之二藏踪	华严小镇2之藏踪
E家侦探社	辣条侦探
嫦娥归来	月亮的后裔之嫦娥归来
夺面人	聊斋新编之画皮新娘
星游记网络大电影	星游记之风暴法米拉
星游记2	星游记之风暴法米拉
星游记重置版	星游记之风暴法米拉
吓死宝宝了	精灵校花
宝宝吓死了之精灵校花	精灵校花
青春正蓝之公主和她的49个男仆	青春正蓝
公主和她的四十九个男仆	青春正蓝
公主和她的49个男仆	青春正蓝
彼得潘	小飞侠
小飞侠真人版	小飞侠
彼得潘真人版	小飞侠
闪婚@七天嫁给你	闪婚之七天嫁给你
女生禁区电影版	女生禁区之灵异档案
22个男人(台)	购物女王
天堂之吻	购物女王
谜域	谜域之噬魂岭
进皇城	进京城
校恐	开学悸
校园有诡	开学悸
男神训练营	最佳男友进化论
操控者	幕后玩家
西游乱入三国2	西游乱入三国下集
心理罪·城市之光	心理罪之城市之光
城市之光	心理罪之城市之光
缉凶者	心理罪之城市之光
深流不息	谁的青春不热血之深流不息
神农溪之恋	漂洋过海来爱你
海を越えた愛	漂洋过海来爱你
快乐星球大营救	快乐星球之三十六号
快乐星球电影版	快乐星球之三十六号
快乐星球大电影	快乐星球之三十六号
云镝：丝路英雄	丝路英雄·云镝
丝路英雄之云镝	丝路英雄·云镝
初恋教我的18件事	初恋教我的十八件事
幸运红中	师生换魂
承诺	疯狂夺爱之搏击少年
最後一枝蠟筆	最后一枝蜡笔
果乐城	魔力果乐岛之拯救行动
水地球	星际大逃亡
我与世界，只差一个你	我与世界
冷杀	灵异二维码
冷杀	灵异二维码
A Woman's Gaze（英）	她的眼光
养老计划	盛先生的花儿
我的小人物	小家伙
毛骨悚然2	鸡皮疙瘩2：闹鬼万圣节
书中自有魔怪谷2： 翻生万圣节(港)	鸡皮疙瘩2：闹鬼万圣节
