"黄轩,染谷将太,张雨绮,秦昊,张榕容,刘昊然,欧豪,张鲁一,阿部宽,田雨,刘佩琦,辛柏青,成泰燊,李淳,秦怡,松坂庆子,张天爱,周中和,火野正平,夏楠,陈旭,王迪,宋运成,刘国华","2017-12-22(中国大陆),2018-02-24(日本)",陈凯歌,5350027,汉语普通话 / 日语,6.9,436204,中国大陆 / 日本,129分钟(中国大陆),妖猫传,"剧情,悬疑,奇幻,古装",2017
"张涵予,彭于晏,孙淳,陈宝国,冯文娟,刘显达,赵健,吴旭东,吴嘉龙,卢惠光,柏华力·莫高彼斯彻,维他亚·潘斯林加姆,战立国,石占杰,伍麟凯,Zobra,魏蔓,李佳璇,郝文婷,王笑龙,任蕊,Bhubhing Bhangsa-Ard,Achaya Vishwanath Govind,Nitidet Chery Junphli,Keerali Sivakuae,Alyaret Junamnoong,Vattcharachai Sunthomsin,Sarawut Kumsorn,Nongmal Bunchu,Subash A/L Sundaramoorthy,Itthiphon,Samrit Warin,纳卡琳·加汉,钟建龙,张敏嘉,陈沛兴,林美芬,詹姆斯·阿媞邦德,Amigo",2016-09-30(中国大陆),林超贤,25815034,汉语普通话 / 粤语 / 泰语 / 缅甸语 / 英语,8.0,432115,中国大陆 / 香港,124分钟,湄公河行动,"动作,犯罪",2016
"雷佳音,佟丽娅,张衣,于和伟,王正佳,陶虹,李念,李光洁,杨玏,范明,徐峥,杨迪,方龄,陈昊",2018-05-18(中国大陆),苏伦,27133303,汉语普通话,6.9,283371,中国大陆,101分钟,超时空同居,"喜剧,爱情,奇幻",2018
"陈坤,黄渤,舒淇,杨颖,夏雨,刘晓庆,颜卓灵,曹操,张东,黄西,僧格仁钦",2015-12-18(中国大陆),乌尔善,3077412,汉语普通话 / 英语 / 蒙古语 / 日语,7.5,393439,中国大陆 / 香港,125分钟(中国大陆),寻龙诀,"剧情,动作,奇幻,冒险",2015
"徐峥,王宝强,李曼,李小璐,左小青,张歆艺,黄小蕾,马健,邱林",2010-06-04(中国大陆),叶伟民,4237879,汉语普通话,7.5,355677,中国大陆,91分钟,人在囧途,喜剧,2010
"徐峥,王宝强,黄渤,陶虹,谢楠,范冰冰",2012-12-12(中国大陆),徐峥,10574622,汉语普通话 / 英语 / 泰语,7.4,507592,中国大陆,105分钟,人再囧途之泰囧,喜剧,2012
"艾伦,马丽,沈腾,田雨,宋阳,薛皓文,常远,黄才伦,王智",2017-09-30(中国大陆),"宋阳,张吃鱼",27038183,汉语普通话,6.9,418454,中国大陆,100分钟,羞羞的铁拳,"喜剧,奇幻",2017
"黄晓明,邓超,佟大为,杜鹃,王真儿,乔治·安东,杨晨,张籽沐,雷昊汶,佟磊,刘天佐,Claire Quirk,Daniel Berkey,公翠英,于膨玮,冯仑,宇轩,胡明杨,柏明,唐晓峰,凯特琳·菲茨杰拉德,杨轶,吴越坤,张跃德,毛大庆,田朴珺,John Taylor,闫锐,Barbara Malley,Tracey Ilgner,Catherine Gibson,Anthony Santoro,艾梓童,黄卫,黄天齐,康晟闻,雷瑷嘉","2013-05-17(中国大陆),2013-05-30(香港)",陈可辛,11529526,英语 / 汉语普通话,7.6,411545,中国大陆 / 香港,112分钟,中国合伙人,剧情,2013
"赵英博,任敏,辛云来,章若楠,朱丹妮",2018-09-21(中国大陆),落落,27102569,汉语普通话,5.8,92205,中国大陆,104分钟,悲伤逆流成河,"剧情,爱情",2018
"周冬雨,马思纯,李程彬,李萍,蔡纲,蒙亭宜,沙全泽,姚欣言,李昊芳,蒋亭轩","2016-09-14(中国大陆),2016-10-27(香港)",曾国祥,25827935,汉语普通话,7.6,338845,中国大陆 / 香港,109分钟,七月与安生,"剧情,爱情",2016
"邓超,罗志祥,张雨绮,林允,徐克,吴亦凡,李尚正,卢正雨,白客,孔连顺,田启文,文章,杨能,张美娥,李叶青,林子聪,赵志凌,郑冀峰,钱国伟,范淑珍,艾文·科蒂克,松冈李那,徐轸轸,夏尉喻,皮埃尔·布迪厄,孙嘉灵,许雅婷,赵靖伊,付骏福,虞嘉娜,宁小花,易志乐,孙乐天",2016-02-08(中国大陆/香港),周星驰,19944106,汉语普通话 / 英语 / 日语,6.7,471874,中国大陆 / 香港,93分钟,美人鱼,"喜剧,爱情,奇幻",2016
"冯小刚,许晴,张涵予,刘桦,李易峰,吴亦凡,梁静,白举纲,于和伟,连奕名,尚语贤,鲁诺,管宗祥,尹力,余皑磊,宁浩,江珊,张译,郭京飞,张鲁一,赵毅,梁天,张一山,王俊凯,王源,易烊千玺,巴图","2015-12-24(中国大陆),2015-09-09(威尼斯电影节)",管虎,24751756,汉语普通话,7.8,465761,中国大陆,137分钟(中国大陆),老炮儿,"剧情,犯罪",2015
"章子怡,黄晓明,张震,王力宏,陈楚生,铁政,祖锋,米雪,王盛德,韩童生,王鑫,郑铮,章泽天,黄梦莹,林美秀,保罗·菲利普·克拉克,胡家华,伊娜,吴谨言,纪帅,王天泽,伍麟凯,都金翰",2018-01-12(中国大陆),李芳芳,6874741,汉语普通话,7.6,376263,中国大陆,138分钟,无问西东,"剧情,爱情,战争",2018
,2018,卓建荣,26780086,汉语普通话,,,中国大陆,85分钟,汽车人总动员2：疯狂逆袭,"喜剧,动画,冒险",2017
"余涛,龙鹏屹,余庭武",2018(中国大陆),刘盛,30345707,汉语普通话,,,中国大陆,110分钟,松柏,剧情,2018
"檀玉峰,余建群,刘良峰,宋云,李永亮,薛会科",2018-12(中国大陆),冯胜杰,30373760,汉语普通话,,,中国大陆,100分钟,迷走古山劫,"剧情,喜剧",2018
"王志文,余男,李立群,许亚军,夏克立,高捷,余皑磊,赵炳锐,白澍,王冠杰,康斯坦丁·科玖霍夫,法比安·卢查瑞尼",,徐顺利,27002371,汉语普通话,,,中国大陆 / 澳大利亚,,最长一枪,"剧情,动作",2018
程凡,,刘大志,30327691,汉语普通话,,,中国大陆,68分钟,我心底的美丽世界,"剧情,家庭",2018
,,章家瑞,25853059,汉语普通话 / 法语,,,中国大陆 / 韩国 / 法国,,紫禁城的芭蕾,"剧情,爱情",2018
"六小龄童,马德华,刘大刚,汪粤",2018(中国大陆),董董,26910087,汉语普通话,,,中国大陆,108分钟,财迷,"剧情,喜剧",2018
"胡凯翔,胡凯浩,李力持,吴晶,陈康,吴丹,彭电平",,陈志敏,30377785,汉语普通话,,,中国大陆,,蜻蜓少年,儿童,2018
"艾伦,王智,鲁诺,金士杰,任达华",2018-12(中国大陆),孙周,27179414,汉语普通话,,,中国大陆,,人间·喜剧,喜剧,2018
"俞昊彬,黄梓翎",,方泽波,30353201,,,,中国大陆,15分钟,梦 夢,,2018
王子清,2018(中国大陆),黄河,30246412,汉语普通话,,,中国大陆,,笔仙大战贞子3结盟,"惊悚,恐怖",2018
,2018(中国大陆),,30367482,汉语普通话,,,中国大陆,,遇见大咖 第四季,真人秀,2018
,,丁亮,30336305,,,,中国大陆,,熊出没之探险日记2,动画,2018
"归亚蕾,杨贵媚,班铁翔",2018(中国大陆),叶谦,27097910,闽南语,,,中国大陆,109分钟,蕃薯浇米,剧情,2018
"贾若双,刘毅轩,刘建民",,杨琪,30355271,汉语普通话,,,中国大陆,24分钟,副驾驶的甘地,"剧情,奇幻",2018
"许绍洋,赵小锐,丁嘉丽,许文广",,"郭郅,衣楠",30258085,汉语普通话,,,中国大陆,,天网狼蛛,"科幻,悬疑,犯罪",2018
"陈国良,魏小欢,谭赫,罗诠浩,李嘉隽",2018(中国大陆),苗述,26873791,汉语普通话,,,中国大陆,87分钟,刺客2,"战争,古装",2018
"刘昊然,陈都灵,金赛纶,萩原实里,成田凌",2018(中国大陆),金振成,26715617,汉语普通话,,,中国大陆,,双生,"剧情,爱情,悬疑",2018
朱晓光,,王家辉,30299397,汉语普通话,,,中国大陆,72分钟,艺术民工2,,2018
"吴世勋,吴倩,宋威龙,徐可,李昕亮,许佳琪,于波,孙宁,鞠婧祎",2018,朴熙坤,26734686,汉语普通话,,,中国大陆,,我爱喵星人,"喜剧,爱情,奇幻",2018
,,刘思茗,30367762,,,,中国大陆,25分钟,还死债,,2018
"辛芷蕾,张超,赵文瑄,孔维,孔千千,孙波,应岱臻",,宁奕,26821984,汉语普通话,,,中国大陆,,三重魅影,"爱情,悬疑",2018
赵薇,,许鞍华,27044392,汉语普通话,,,中国大陆,,永远的尹雪艳,剧情,2018
"姚橹,陈玉彪,斑马夺基,张美煊,赖二娃,张花四",2018(中国大陆),王光利,30148224,汉语普通话,,,中国大陆,90分钟,金色腰带,"剧情,传记",2018
"林鹏,李东学,陈思成,赫子铭,黄晓婉",,范庆,30362284,汉语普通话,,,中国大陆,102分钟,牛油果的春天,剧情,2018
